Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENGREST_biomass_1,1,1.9166538513803326e7,2446.741883740952,0.8942345051175439
NENGREST_conventional_hydroelectric_1,1,3.188029829662506e-11,0.0,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,135800.85092985575,432.3661958678494,0.03585474625743508
NaturalGas_CTAvgCF_Moderate,1,240296.5393358815,1337.8273323131518,0.02050422437468378
NaturalGas_CCCCSAvgCF_Moderate,1,2.7909423245527395e6,2349.7610611058435,0.135588561430568
NaturalGas_CCS100_Moderate,1,2.664758222336129e7,5748.729331608088,0.5291537078111229
NENGREST_nuclear_1,1,0.0,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,3.9225676675619915e7,12018.540095653616,0.37257578178917816
UtilityPV_Class1_Moderate_100_0.2,1,9.80215605898301e6,7782.279358434553,0.14378404257990843
Liion_Moderate,1,1.9166235418286962e6,1497.2764638040512,0.0
TEGS,1,581076.204658918,6666.666666666667,0.0
