Resource,Zone,AnnualSum,Capacity,CapacityFactor
ERC_REST_biomass_1,1,2.6332110849812496e8,31845.8307835378,0.9439065187463794
ERC_REST_conventional_hydroelectric_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,0.0,0.0,0.0
NaturalGas_CTAvgCF_Moderate,1,1.0749096218318695e6,3728.6969051432743,0.03290870267986379
NaturalGas_CCCCSAvgCF_Moderate,1,2.6981065664554022e7,13970.578526490372,0.22046548188134593
NaturalGas_CCS100_Moderate,1,4.9417839843618214e7,9754.321933536508,0.5783391153849231
ERC_nuclear_1,1,2.741315390577875e-11,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,3.6778769553119674e7,15890.40900210107,0.26421533105022826
UtilityPV_Class1_Moderate_100_0.2,1,1.697429213758859e8,88963.31501768409,0.21780939497716895
Liion_Moderate,1,4.287533276596536e7,33926.873624379565,0.0
TEGS,1,983539.7245802406,43333.21655304655,0.0
