Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENGREST_biomass_1,1,0.0,0.0,0.0
NENGREST_conventional_hydroelectric_1,1,0.0,0.0,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,2.079171867435792e6,1249.5538330659097,0.18994650763562923
NaturalGas_CTAvgCF_Moderate,1,491145.82446750277,774.2246643708381,0.07241680292473572
NaturalGas_CCCCSAvgCF_Moderate,1,4.2317982931707874e7,7453.169879557448,0.6481564283974013
NaturalGas_CCS100_Moderate,1,0.0,0.0,0.0
NENGREST_nuclear_1,1,0.0,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,1.1288998691150097e6,571.7247930384352,0.22540538672043595
UtilityPV_Class1_Moderate_100_0.2,1,5.816136394527636e7,23279.676452997508,0.28520263678550234
Liion_Moderate,1,1.2823635608827543e7,10222.457394581226,0.0
TEGS,1,1.908384718865264e6,16620.219723361228,0.0
