Resource,Zone,AnnualSum,Capacity,CapacityFactor
ERC_REST_biomass_1,1,2.639915052768221e8,32448.83460972463,0.9287241574796222
ERC_REST_conventional_hydroelectric_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,0.0,0.0,0.0
NaturalGas_CTAvgCF_Moderate,1,1.0728979276598326e6,3707.625467160351,0.03303379304788944
NaturalGas_CCCCSAvgCF_Moderate,1,2.7011001522039536e7,13986.36424813905,0.2204609866887706
NaturalGas_CCS100_Moderate,1,4.939811734157534e7,9698.564985150766,0.5814318406569663
ERC_nuclear_1,1,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,3.534581388312323e7,15291.84978521901,0.2638601815544003
UtilityPV_Class1_Moderate_100_0.2,1,1.6601456236332047e8,87009.25899787915,0.21780939497716814
Liion_Moderate,1,4.155453774816895e7,32930.0322305693,0.0
TEGS,1,0.0,0.0,0.0
