Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENGREST_biomass_1,1,0.0,0.0,0.0
NENGREST_conventional_hydroelectric_1,1,0.0,0.0,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,2.7654968631559717e6,1860.2999082257572,0.169701663451587
NaturalGas_CTAvgCF_Moderate,1,931125.6324987931,2632.9896263057735,0.04036965408457431
NaturalGas_CCCCSAvgCF_Moderate,1,3.3175972050985217e7,6690.644106003901,0.5660458636481444
NaturalGas_CCS100_Moderate,1,2.2993161480959978e-11,0.0,0.0
NENGREST_nuclear_1,1,0.0,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,5.442186504353878e7,17130.76387623602,0.3626540950841633
UtilityPV_Class1_Moderate_100_0.2,1,9.319863391834347e6,7399.4264219257775,0.14378294822248092
Liion_Moderate,1,162021.76533376766,131.35943741290146,0.0
TEGS,1,3.3769077594860704e6,3064.8184900610554,0.0
