Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENGREST_biomass_1,1,8.477248522376359e6,1087.5423822898167,0.8898250310242548
NENGREST_conventional_hydroelectric_1,1,0.0,0.0,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,0.0,0.0,0.0
NaturalGas_CTAvgCF_Moderate,1,321031.4926581406,1680.2810342742323,0.021810298349625022
NaturalGas_CCCCSAvgCF_Moderate,1,2.9424158087861044e6,2139.2852423563345,0.15701142090097378
NaturalGas_CCS100_Moderate,1,2.6788742491643466e7,5895.292079474782,0.5187318262901719
NENGREST_nuclear_1,1,0.0,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,5.2016125995246984e7,16071.272305549157,0.3694737923361419
UtilityPV_Class1_Moderate_100_0.2,1,1.0620693448733782e7,8432.14519729163,0.14378404303652967
Liion_Moderate,1,85987.46516883737,64.71530859553955,0.0
TEGS,1,3.893580122145572e6,4009.525648860045,0.0
