Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENGREST_biomass_1,1,2.4569736731628038e7,2888.0840503193176,0.971150568409088
NENGREST_conventional_hydroelectric_1,1,0.0,0.0,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,0.0,0.0,0.0
NaturalGas_CTAvgCF_Moderate,1,81596.19755669008,282.55545397016954,0.0329656861808906
NaturalGas_CCCCSAvgCF_Moderate,1,5.944941226873432e6,2726.197769249314,0.24893507963010988
NaturalGas_CCS100_Moderate,1,1.6618908307835769e7,3235.6171305867533,0.5863288439307389
NENGREST_nuclear_1,1,0.0,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,1.7060440309854308e6,864.0161073756366,0.2254053867204329
UtilityPV_Class1_Moderate_100_0.2,1,6.297284919411868e7,25205.522276641004,0.28520263678550223
Liion_Moderate,1,9.945459628633177e6,7716.365418088241,0.0
TEGS,1,7.589742837490207e6,20745.441966652328,0.0
