Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENGREST_biomass_1,1,0.0,0.0,0.0
NENGREST_conventional_hydroelectric_1,1,0.0,0.0,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,8.754586051239187e6,2760.2311800116663,0.362064589573732
NaturalGas_CTAvgCF_Moderate,1,812028.9960317143,1332.4931672381604,0.06956686627396043
NaturalGas_CCCCSAvgCF_Moderate,1,3.920443640078224e7,5996.535008237281,0.74632971825339
NaturalGas_CCS100_Moderate,1,2.864908310584724e-11,0.0,0.0
NENGREST_nuclear_1,1,0.0,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,316244.30236925813,160.16009326263156,0.22540538672045576
UtilityPV_Class1_Moderate_100_0.2,1,5.2974536464528725e7,21203.596090045026,0.28520263678550223
Liion_Moderate,1,1.2955358098044498e7,10205.383768129836,0.0
TEGS,1,621802.7151817596,11836.673865568831,0.0
